which_bank,census_tract,accept,received,loan_amount,income
All Other Banks,4013071514.0,1,3,725000.0,124.5
All Other Banks,4013071515.0,0,2,550000.0,39.0
All Other Banks,4013071516.0,1,7,1375000.0,59.0
All Other Banks,4013071517.0,1,3,815000.0,81.0
All Other Banks,4013071600.0,0,4,840000.0,40.0
All Other Banks,4013071701.0,0,5,1305000.0,46.0
All Other Banks,4013071702.0,0,9,1125000.0,44.0
All Other Banks,4013071801.0,1,12,1990000.0,40.0
All Other Banks,4013071802.0,2,11,2085000.0,66.0
All Other Banks,4013071903.0,0,11,1865000.0,64.0
All Other Banks,4013071906.0,1,4,940000.0,45.0
All Other Banks,4013071909.0,1,5,1115000.0,65.5
All Other Banks,4013071910.0,1,3,435000.0,60.0
All Other Banks,4013071911.0,0,5,1155000.0,102.0
All Other Banks,4013071912.0,1,7,1085000.0,36.0
All Other Banks,4013071913.0,0,6,1260000.0,86.5
All Other Banks,4013071914.0,1,2,260000.0,89.0
All Other Banks,4013071915.0,2,5,1145000.0,52.0
All Other Banks,4013082002.0,0,10,2330000.0,84.0
All Other Banks,4013082007.0,2,5,1145000.0,59.0
All Other Banks,4013082008.0,0,3,495000.0,44.0
All Other Banks,4013082009.0,1,3,545000.0,48.0
All Other Banks,4013082010.0,0,1,245000.0,53.0
All Other Banks,4013082012.0,2,6,1290000.0,54.0
All Other Banks,4013082016.0,1,5,1195000.0,64.5
All Other Banks,4013082017.0,1,7,1425000.0,48.5
All Other Banks,4013082018.0,1,1,175000.0,
All Other Banks,4013082019.0,0,3,855000.0,63.0
All Other Banks,4013082020.0,1,7,1515000.0,72.5
All Other Banks,4013082021.0,1,7,1945000.0,68.0
All Other Banks,4013082022.0,0,5,1055000.0,97.0
All Other Banks,4013082023.0,0,3,785000.0,105.0
All Other Banks,4013082024.0,0,6,1110000.0,63.5
All Other Banks,4013082025.0,3,10,2570000.0,57.0
All Other Banks,4013082026.0,2,8,2040000.0,67.0
All Other Banks,4013082027.0,2,14,4170000.0,64.0
All Other Banks,4013082028.0,0,10,2270000.0,43.0
All Other Banks,4013082203.0,4,18,3880000.0,60.0
All Other Banks,4013082204.0,2,14,3810000.0,74.0
All Other Banks,4013082205.0,1,7,1555000.0,55.0
All Other Banks,4013082206.0,1,3,485000.0,117.0
All Other Banks,4013082207.0,1,7,1755000.0,72.0
All Other Banks,4013082208.0,4,9,2755000.0,78.5
All Other Banks,4013082210.0,2,8,1980000.0,70.0
All Other Banks,4013082211.0,4,14,3910000.0,53.0
All Other Banks,4013083000.0,1,5,905000.0,103.5
All Other Banks,4013092305.0,1,6,1570000.0,79.5
All Other Banks,4013092306.0,3,9,1795000.0,40.5
All Other Banks,4013092307.0,2,10,1950000.0,42.0
All Other Banks,4013092308.0,1,10,1460000.0,70.5
All Other Banks,4013092309.0,0,7,1425000.0,82.0
All Other Banks,4013092311.0,1,1,205000.0,85.0
All Other Banks,4013092312.0,0,4,700000.0,64.5
All Other Banks,4013092401.0,0,2,280000.0,278.0
All Other Banks,4013092402.0,0,1,215000.0,
All Other Banks,4013092500.0,1,2,520000.0,53.5
All Other Banks,4013092600.0,2,3,655000.0,0.0
All Other Banks,4013092705.0,2,4,950000.0,120.0
All Other Banks,4013092709.0,0,7,1895000.0,86.0
All Other Banks,4013092710.0,0,8,1380000.0,80.0
All Other Banks,4013092711.0,0,5,1540000.0,105.5
All Other Banks,4013092712.0,0,7,1185000.0,55.0
All Other Banks,4013092713.0,1,11,2875000.0,89.0
All Other Banks,4013092715.0,0,5,1065000.0,47.5
All Other Banks,4013092716.0,1,7,1305000.0,61.0
All Other Banks,4013092717.0,1,4,990000.0,57.0
All Other Banks,4013092718.0,1,4,1100000.0,73.0
All Other Banks,4013092719.0,2,5,1065000.0,61.0
All Other Banks,4013092720.0,2,9,2255000.0,76.0
All Other Banks,4013092721.0,1,8,2710000.0,94.5
All Other Banks,4013092723.0,1,3,725000.0,78.0
All Other Banks,4013092724.0,1,6,1410000.0,66.0
All Other Banks,4013092801.0,0,1,175000.0,77.0
All Other Banks,4013092802.0,1,2,490000.0,70.0
All Other Banks,4013092900.0,0,1,205000.0,44.0
All Other Banks,4013093001.0,3,5,725000.0,57.5
All Other Banks,4013093002.0,2,4,960000.0,59.0
All Other Banks,4013093101.0,0,4,780000.0,52.5
All Other Banks,4013093105.0,1,5,845000.0,36.0
All Other Banks,4013093106.0,0,2,520000.0,82.0
All Other Banks,4013093200.0,3,4,320000.0,82.5
All Other Banks,4013103205.0,1,6,2240000.0,174.5
All Other Banks,4013103206.0,0,5,3075000.0,154.0
All Other Banks,4013103207.0,0,3,1165000.0,208.0
All Other Banks,4013103208.0,0,7,2425000.0,133.0
All Other Banks,4013103209.0,1,10,6700000.0,199.0
All Other Banks,4013103210.0,0,4,900000.0,87.5
All Other Banks,4013103211.0,1,4,1610000.0,88.5
All Other Banks,4013103212.0,2,5,2575000.0,276.5
All Other Banks,4013103214.0,1,6,2670000.0,118.5
All Other Banks,4013103215.0,1,5,1995000.0,110.0
All Other Banks,4013103216.0,1,5,2175000.0,190.5
All Other Banks,4013103217.0,1,11,3815000.0,162.0
All Other Banks,4013103219.0,0,9,4765000.0,160.0
All Other Banks,4013103220.0,0,2,490000.0,85.0
All Other Banks,4013103302.0,0,11,2535000.0,76.0
All Other Banks,4013103303.0,0,4,930000.0,55.5
All Other Banks,4013103304.0,0,2,380000.0,37.5
All Other Banks,4013103305.0,0,1,205000.0,62.0
All Other Banks,4013103306.0,1,3,665000.0,36.0
All Other Banks,4013103400.0,1,3,775000.0,72.5
All Other Banks,4013103501.0,1,4,1310000.0,133.0
All Other Banks,4013103502.0,4,17,4005000.0,90.0
All Other Banks,4013103604.0,0,3,885000.0,81.0
All Other Banks,4013103605.0,1,7,2865000.0,141.5
All Other Banks,4013103606.0,2,7,1915000.0,93.0
All Other Banks,4013103607.0,1,6,2160000.0,122.0
All Other Banks,4013103608.0,1,4,740000.0,46.0
All Other Banks,4013103609.0,1,5,1015000.0,70.0
All Other Banks,4013103611.0,1,10,2690000.0,100.0
All Other Banks,4013103612.0,1,2,1020000.0,137.5
All Other Banks,4013103614.0,0,5,935000.0,94.0
All Other Banks,4013103615.0,1,1,385000.0,144.0
All Other Banks,4013103701.0,0,4,1710000.0,141.0
All Other Banks,4013103702.0,1,8,2150000.0,132.0
All Other Banks,4013103900.0,6,15,3285000.0,60.0
All Other Banks,4013104000.0,0,2,500000.0,89.5
All Other Banks,4013104100.0,1,5,1125000.0,60.0
All Other Banks,4013104202.0,0,5,1045000.0,74.0
All Other Banks,4013104203.0,2,13,2355000.0,71.5
All Other Banks,4013104204.0,0,6,1180000.0,90.0
All Other Banks,4013104205.0,1,8,1450000.0,66.0
All Other Banks,4013104206.0,3,4,960000.0,53.0
All Other Banks,4013104207.0,0,8,1390000.0,65.0
All Other Banks,4013104212.0,0,12,2640000.0,65.0
All Other Banks,4013104214.0,0,2,350000.0,76.0
All Other Banks,4013104215.0,0,2,420000.0,78.0
All Other Banks,4013104216.0,2,6,1490000.0,72.0
All Other Banks,4013104217.0,1,10,1930000.0,64.0
All Other Banks,4013104218.0,0,4,670000.0,64.5
All Other Banks,4013104219.0,1,6,1120000.0,86.0
All Other Banks,4013104221.0,2,9,1965000.0,80.0
All Other Banks,4013104222.0,1,9,2185000.0,113.0
All Other Banks,4013104223.0,0,2,510000.0,71.5
All Other Banks,4013104224.0,1,6,1410000.0,75.0
All Other Banks,4013104225.0,1,11,3035000.0,86.0
All Other Banks,4013104226.0,0,6,1070000.0,76.0
All Other Banks,4013104227.0,1,3,705000.0,232.0
All Other Banks,4013104301.0,0,6,1350000.0,75.0
All Other Banks,4013104302.0,0,3,415000.0,55.0
All Other Banks,4013104402.0,0,1,25000.0,55.0
All Other Banks,4013104501.0,0,2,350000.0,46.0
All Other Banks,4013104502.0,0,3,495000.0,60.5
All Other Banks,4013104600.0,0,1,145000.0,56.0
All Other Banks,4013104701.0,2,3,565000.0,49.0
All Other Banks,4013104702.0,1,2,450000.0,74.0
All Other Banks,4013104801.0,0,4,980000.0,87.0
All Other Banks,4013104802.0,0,8,3270000.0,125.0
All Other Banks,4013104900.0,3,8,2230000.0,121.0
All Other Banks,4013105002.0,0,3,5595000.0,210.0
All Other Banks,4013105003.0,2,11,15145000.0,630.5
All Other Banks,4013105004.0,1,5,6125000.0,140.5
All Other Banks,4013105101.0,1,7,2855000.0,231.0
All Other Banks,4013105102.0,2,10,4050000.0,110.0
All Other Banks,4013105103.0,1,7,9155000.0,720.5
All Other Banks,4013105200.0,0,8,3230000.0,96.0
All Other Banks,4013105300.0,1,14,5030000.0,123.5
All Other Banks,4013105400.0,0,2,580000.0,46.5
All Other Banks,4013105502.0,0,1,155000.0,26.0
All Other Banks,4013105601.0,1,2,420000.0,91.0
All Other Banks,4013105602.0,1,9,1195000.0,42.0
All Other Banks,4013105701.0,2,4,710000.0,60.0
All Other Banks,4013105702.0,1,5,775000.0,57.0
All Other Banks,4013105800.0,0,7,1545000.0,46.0
All Other Banks,4013105900.0,0,10,1750000.0,44.0
All Other Banks,4013106003.0,2,5,1035000.0,42.0
All Other Banks,4013106100.0,3,14,4340000.0,154.0
All Other Banks,4013106200.0,0,5,3905000.0,278.0
All Other Banks,4013106300.0,1,8,2410000.0,99.0
All Other Banks,4013106400.0,1,6,3870000.0,209.5
All Other Banks,4013106501.0,1,6,1580000.0,72.0
All Other Banks,4013106502.0,1,8,2220000.0,83.5
All Other Banks,4013106600.0,1,5,2985000.0,192.0
All Other Banks,4013106701.0,0,1,75000.0,131.0
All Other Banks,4013106702.0,1,1,205000.0,33.0
All Other Banks,4013106703.0,0,4,1470000.0,130.0
All Other Banks,4013106801.0,1,1,315000.0,
All Other Banks,4013106802.0,3,8,1450000.0,71.5
All Other Banks,4013106900.0,4,11,2265000.0,46.0
All Other Banks,4013107000.0,3,12,1590000.0,60.0
All Other Banks,4013107101.0,2,5,1205000.0,78.0
All Other Banks,4013107102.0,0,4,310000.0,68.0
All Other Banks,4013107202.0,1,6,660000.0,48.0
All Other Banks,4013107300.0,2,8,1160000.0,69.0
All Other Banks,4013107400.0,1,7,1765000.0,80.5
All Other Banks,4013107500.0,0,4,1560000.0,100.0
All Other Banks,4013107601.0,0,1,850000.0,132.0
All Other Banks,4013107602.0,0,4,1680000.0,168.5
All Other Banks,4013107700.0,0,4,1090000.0,112.0
All Other Banks,4013107800.0,0,2,710000.0,151.0
All Other Banks,4013107900.0,2,11,9365000.0,262.0
All Other Banks,4013108000.0,1,6,10260000.0,397.0
All Other Banks,4013108100.0,1,5,5455000.0,177.0
All Other Banks,4013108200.0,1,5,2545000.0,200.0
All Other Banks,4013108301.0,1,7,6245000.0,258.0
All Other Banks,4013108302.0,1,8,2680000.0,171.0
All Other Banks,4013108400.0,0,5,1455000.0,94.0
All Other Banks,4013108501.0,0,4,760000.0,198.0
